"","id","rating","rating_sd","rating_se","dataset","chord_size","name","chord_nro","genre","register","pitchlow","pitchhigh","pitchrange","gill_09_harmonicity","har_18_harmonicity","milne_13_harmonicity","parn_88_root_ambig","parn_94_complex","stolz_15_periodicity","bowl_18_min_freq_dist","hutch_78_roughness","seth_93_roughness","vass_01_roughness","wang_13_roughness","jl_12_tonal","har_19_corpus","har_19_composite","sharpness","sproll","spflux","keyclar","spcentr","spirreg","Forte","neg_log_prob","CorpPop","CorpJazz","CorpClas","TDL","TDL1","register_N","midi","pc"
"1","c1",10,NA,NA,"art18",3,"Major",NA,NA,64,60,67,7,0.466666666666667,0.928588602237831,0.702134069832943,1.87082869338697,0.309964985137755,-2,62.3678790688793,0.120242607949697,0.773500638201884,2.08376284017316,0.644290644297773,1,10,2.01684118926967,0.813669,1314.2,3.91217,0.83458,0.831974,0.623389,"3-11B",2.69089884378532,0.632235176200951,5.26777642871505,2.69089884378532,1,1,4,"60-64-67",""
"2","c8",7.84,NA,NA,"art18",4,"Dom7",NA,NA,66,60,70,10,0.115555555555556,0.728916578223825,0.644295763132923,2.04939015319192,0.145194678741313,-4.43016794670639,62.3678790688793,0.221465005253087,1.47828217373588,3.69865316159605,0.984603276992901,1,8.42519428100781,1.33415396558651,0.890361,1407.73,4.65115,0.757263,0.900954,0.772815,"4-27B",3.09212901186637,2.41821647391762,2.60505692398376,3.09212901186637,1,1,10,"60-64-67-70",""
"3","c5",7.48,NA,NA,"art18",3,"Sus",NA,NA,65,60,67,7,0.305555555555556,1.05597977834256,0.763252924065916,1.98431348329844,0.308401390628062,-3.16395103210989,42.7672045487454,0.180110542722652,0.757683375951257,1.95551393206341,0.767077214979102,4,6.89028075835381,1.82412794890835,0.785901,1050.08,5.203,0.708133,0.706489,0.682472,"3-9",8.97748579111647,4.09193223965683,9.97166008763918,8.97748579111647,1,1,7,"60-65-67",""
"4","c2",6.76,NA,NA,"art18",3,"Minor",NA,NA,63,60,67,7,0.2,0.928588602237831,0.702134069832943,2.04939015319192,0.288912987126636,-3.32192809488736,49.5014184214823,0.130083011505221,0.792264522350081,2.12606353693061,0.693394833260659,3,8.71728717881205,1.86788427394116,0.797839,1313.86,3.32804,0.849122,0.81075,0.375395,"3-11A",3.29198082096815,2.14376085786175,5.46355161449422,3.29198082096815,1,1,1,"60-63-67",""
"5","c7",6.04,NA,NA,"art18",4,"Minor7",NA,NA,65,60,70,10,0.222222222222222,0.83411290484838,0.588306983990921,2.16024689946929,0.206574718087996,-3.68016794670639,49.5014184214823,0.194293133866213,1.38858875264132,3.50448125797816,0.849944499062201,1,8.39084535786945,1.56185217253564,0.87168,1421.53,4.5584,0.860538,0.878221,0.506354,"4-26",3.82007212224573,2.34742117126595,2.54958529563679,3.82007212224573,1,1,7,"60-63-67-70",""
"6","c6",5.68,NA,NA,"art18",4,"Major7",NA,NA,66,60,71,11,0.266666666666667,0.815233587107258,0.593204732098434,2.16024689946929,0.16694618339827,-3,62.3678790688793,0.237537188312353,1.3533716043365,3.30004803364677,0.758824534997533,1,7.42894391227048,1.35844490602109,0.87586,1460.22,5.14135,0.854983,0.874889,0.695196,"4-20",3.50094154161012,3.54780574500476,3.45232845091035,3.50094154161012,1,1,10,"60-64-67-71",""
"7","c3",4.96,NA,NA,"art18",3,"Dim",NA,NA,63,60,66,6,0.428571428571429,0.727581329514965,0.587538205311478,2.50998007960223,0.147792011675675,-3.78603390248028,49.5014184214823,0.200557462740639,0.974990160613773,2.56021889999026,1.02962368889536,3,5.39321941461327,1.0512365949977,0.798786,1139.58,6.93602,0.554516,0.792912,0.32445,"3-10",4.64377597831346,5.91848520577946,7.57376481484081,4.64377597831346,1,1,1,"60-63-66",""
"8","c10",4.24,NA,NA,"art18",4,"H-dim7",NA,NA,64,60,70,10,0.466666666666667,0.728916578223825,0.644295763132923,2.36643191323985,0.164914581052072,-4.85872932612292,49.5014184214823,0.237648265709203,1.52664995703578,3.79645554985426,1.06277614641151,3,5.40872276234805,0.995133427857338,0.874689,1407.06,7.78351,0.673171,0.864295,0.453386,"4-27A",4.97985225373369,5.22017005506107,4.26829436647932,4.97985225373369,1,1,4,"60-63-66-70",""
"9","c9",3.16,NA,NA,"art18",4,"Dim7",NA,NA,64,60,69,9,0.16952380952381,0.573024701164252,0.50979080012731,2.89827534923789,0.0699140210506323,-4.27824730240108,49.5014184214823,0.262382033124493,1.6794774900402,4.23355338956886,1.06948656688378,7,3.95464558589437,0.526803252858066,0.833651,1326.65,7.02498,0.508831,0.861972,0.472939,"4-28",5.02396217594065,7.77997801302219,5.31769973748165,5.02396217594065,2,0,4,"60-63-66-69",""
"10","c4",2.8,NA,NA,"art18",3,"Aug",NA,NA,64,60,68,8,0.105,0.863664232550099,0.614699522067638,2.20139815711603,0.316107577916265,-4.32192809488736,68.0019916122713,0.147985080210457,0.796733946917648,2.00237874736002,0.751406107483849,7,4.17395806884735,1.25218602912251,0.859327,1321.6,2.52844,0.579984,0.926633,0.27745,"3-12",5.63569907288043,7.5176137485547,8.20095402760895,5.63569907288043,2,0,4,"60-64-68",""
"11","c12",1.72,NA,NA,"art18",4,"Aug-ma7",NA,NA,66,60,71,11,0.0591666666666667,0.754353510193137,0.636943902696878,2.16024689946929,0.156523364039768,-4.49144607116552,68.0019916122713,0.26677909784067,1.41920578351305,3.35671507000191,0.934200378694602,7,2.67428545596906,0.709660004519271,0.889713,1489.49,4.22133,0.585051,0.956007,0.268194,"4-19B",8.97748579111647,8.98395081734813,8.4675826908629,8.97748579111647,2,0,10,"60-64-68-71",""
"12","c11",1,NA,NA,"art18",4,"Mi-major7",NA,NA,65,60,71,11,0.06,0.754353510193137,0.636943902696878,2.36643191323985,0.176928042031327,-5.57192809488736,49.5014184214823,0.278563845980636,1.46115988345023,3.44965797780152,0.963038980209569,7,3.43773223440645,0.769736856618431,0.860093,1488.15,4.9638,0.83012,0.854595,0.434056,"4-19A",8.97748579111647,7.96229956981614,7.01414902690538,8.97748579111647,2,0,7,"60-63-67-71",""
"13","dy12c",10,0.274,0.05,"bowl18",2,"octave",NA,NA,59,53,65,12,1,1.56429584559343,1,1.44913767461894,0.877702605293567,0,174.614115716502,0.0054092790495568,0.0550168698014833,0.118699915432456,0.236022809492706,3,7.3032164978325,3.05473037288288,0.747714,875.459,2.11228,0.615004,0.650672,1.06932,"1-1",0.891128221913467,5.69565816435588,1.25264921891698,0.891128221913467,1,1,4.85714285714286,"53-65","0-12"
"14","tr56c",9.81223776118881,0.379049022,0.069204567,"bowl18",3,"power chord",NA,NA,60,53,65,12,0.666666666666667,1.2521137715718,0.80404805919527,1.67332005306815,0.459013347440321,-1,87.0114495840967,0.0465372337007789,0.397204393542263,0.916199492575052,0.574087911366348,3,7.25246923394618,2.42718000065331,0.767712,1048.73,3.40294,0.666616,0.667954,1.22631,"2-5",1.85694148254459,5.71986443207317,1.48686327573291,1.85694148254459,1,1,6.14285714285714,"53-60-65","0-7-12"
"15","te154c",9.81118881118881,0.592,0.108,"bowl18",4,"major triad (r) + oct",NA,NA,60,54,66,12,0.108134920634921,0.928588602237831,0.702134069832943,1.87082869338697,0.300021847095883,-2,44.1007502178271,0.172928750778887,1.24652039314835,2.82457633594549,0.880518364500352,1,10,1.93148909734064,0.812453,1115.35,4.51438,0.836914,0.768885,0.665749,"3-11B",2.69089884378532,0.632235176200951,5.26777642871505,2.69089884378532,1,1,6.14285714285714,"54-58-61-66","0-4-7-12"
"16","tr33c",9.70734265734266,0.406838102,0.074278135,"bowl18",3,"major triad (r)",NA,NA,60,56,63,7,0.466666666666667,0.928588602237831,0.702134069832943,1.87082869338697,0.271929709831119,-2,49.5014184214823,0.149261576715123,0.930022439665078,2.3857152410988,0.663963836877614,1,10,1.96983016214281,0.778037,1251.95,3.70123,0.839741,0.790797,0.454398,"3-11B",2.69089884378532,0.632235176200951,5.26777642871505,2.69089884378532,1,1,6.14285714285714,"56-60-63","0-4-7"
"17","te182c",9.70734265734266,0.61,0.111,"bowl18",4,"te182c",NA,NA,60,53,65,12,0.0268518518518519,0.928588602237831,0.702134069832943,1.87082869338697,0.249659974809706,-1.58496250072116,55.5634635155963,0.158333782854391,1.25819597992507,2.92464283619848,0.789741383887873,1,7.514147556966,1.69735399314972,0.789827,936.694,9.17722,0.616796,0.667754,1.05546,"3-11B",2.69089884378532,0.632235176200951,5.26777642871505,2.69089884378532,1,1,6.14285714285714,"53-58-62-65","0-5-9-12"
"18","te130c",9.6034965034965,0.504,0.092,"bowl18",4,"te130c",NA,NA,60,54,66,12,0.0282539682539683,0.928588602237831,0.702134069832943,1.87082869338697,0.324997946924669,-2.32192809488736,35.0027886441828,0.203675862591876,1.27919038812968,2.76828940752199,0.809845554516826,1,7.17190398701256,1.5884092232448,0.786576,1103.58,4.68067,0.685996,0.742864,0.597089,"3-11B",2.69089884378532,0.632235176200951,5.26777642871505,2.69089884378532,1,1,6.14285714285714,"54-57-62-66","0-3-8-12"
"19","tr45c",9.28776223881119,0.479463301,0.087537622,"bowl18",3,"power chord",NA,NA,59,54,66,12,0.030952380952381,1.2521137715718,0.80404805919527,1.67332005306815,0.434346859428391,-1.58496250072116,61.9444392722449,0.0574041366266938,0.436722178444605,0.970146869200304,0.736156096777752,3,4.52282532447988,2.12651560170005,0.775791,1095.84,4.66159,0.825538,0.72104,0.467874,"2-5",1.85694148254459,5.71986443207317,1.48686327573291,1.85694148254459,1,1,4.85714285714286,"54-59-66","0-5-12"
"20","tr26c",9.18286713181818,0.6149479,0.112273612,"bowl18",3,"major triad (1)",NA,NA,59,56,64,8,0.035,0.928588602237831,0.702134069832943,1.87082869338697,0.179864167458111,-2.32192809488736,39.2893018380895,0.191255986019109,0.951333822675649,2.30789976172827,0.858563600022949,1,7.17190398701256,1.60852955071729,0.766633,1042.68,3.12706,0.704524,0.734261,0.969761,"3-11B",2.69089884378532,0.632235176200951,5.26777642871505,2.69089884378532,1,1,4.85714285714286,"56-59-64","0-3-8"
"21","tr42c",9.18286713181818,0.764890496,0.13964926,"bowl18",3,"major triad (2)",NA,NA,60,55,64,9,0.6,0.928588602237831,0.702134069832943,1.87082869338697,0.339020730145554,-1.58496250072116,65.627847309724,0.135996230050186,0.858111052590192,2.01272940974797,0.815354599594796,1,7.514147556966,1.73354105786985,0.787806,992.21,4.66196,0.690597,0.740907,0.89215,"3-11B",2.69089884378532,0.632235176200951,5.26777642871505,2.69089884378532,1,1,6.14285714285714,"55-60-64","0-5-9"
"22","tr38c",8.86818181713287,0.571346464,0.104313115,"bowl18",3,"tr38c",NA,NA,58,54,66,12,0.238095238095238,1.0699768326589,0.733508698953899,1.79743406854583,0.499583127411115,-2,48.0846694032278,0.107319767600197,0.535108895091272,1.06959981238032,0.647407550238065,3,2.19278502537322,1.47984030559576,0.824488,1115.69,3.21462,0.711131,0.793121,0.769435,"2-4",2.50511234872651,6.25113485824702,2.61404404066749,2.50511234872651,1,1,3.57142857142857,"54-58-66","0-4-12"
"23","te67c",8.86713286713287,0.571,0.104,"bowl18",4,"major triad (r) + M2",NA,NA,60,57,64,7,0.01375,0.851740027175046,0.675052507383902,2.10262993215139,0.158887157419475,-3.93872187554087,26.9416506280621,0.402557808167204,2.04373302793591,5.16235509623848,1.17839288340222,1,6.73742707433197,1.08437924404525,0.791213,1104.25,7.59947,0.582153,0.742729,0.599721,"4-22A",8.97748579111647,3.73225929214014,7.59675433306551,8.97748579111647,1,1,6.14285714285714,"57-59-61-64","0-2-4-7"
"24","te175c",8.76328671328671,0.572,0.104,"bowl18",4,"suspended 4th + oct",NA,NA,59,53,65,12,0.1,1.05597977834256,0.763252924065916,1.98431348329844,0.316966000570847,-3.01920389926271,28.5436845415537,0.214233590636884,1.25916474566531,2.91594698792361,0.842275932642628,4,6.89028075835381,1.76884826119395,0.801758,1051.09,5.0404,0.655532,0.695548,1.27253,"3-9",8.97748579111647,4.09193223965683,9.97166008763918,8.97748579111647,1,1,4.85714285714286,"53-58-60-65","0-5-7-12"
"25","te126c",8.65944055944056,0.681,0.124,"bowl18",4,"minor triad (r) + oct",NA,NA,59,54,66,12,0.114285714285714,0.928588602237831,0.702134069832943,2.04939015319192,0.26124751887785,-3.32192809488736,35.0027886441828,0.171470265631926,1.23505111388367,2.73760845254697,0.8850562284483,3,8.71728717881205,1.80083649763374,0.785496,1112.32,4.97803,0.887226,0.761135,0.598643,"3-11A",3.29198082096815,2.14376085786175,5.46355161449422,3.29198082096815,1,1,4.85714285714286,"54-57-61-66","0-3-7-12"
"26","dy7c",8.5965034965035,0.591,0.108,"bowl18",2,"perfect 5th",NA,NA,60,56,63,7,0.666666666666667,1.2521137715718,0.80404805919527,1.67332005306815,0.526445686533782,-1,103.474634932108,0.0291157784580692,0.204842691178943,0.533629239439252,0.422938183645359,3,7.25246923394618,2.45540293688598,0.758032,1066.9,2.27875,0.820687,0.798642,0.632835,"2-5",1.85694148254459,5.71986443207317,1.48686327573291,1.85694148254459,1,1,6.14285714285714,"56-63","0-7"
"27","tr25c",8.4486013986014,0.674664668,0.123176352,"bowl18",3,"minor triad (r)",NA,NA,59,56,63,7,0.03375,0.928588602237831,0.702134069832943,2.04939015319192,0.287732323151807,-3.32192809488736,39.2893018380895,0.159975547229209,0.948194991584335,2.43401655096263,0.814179792200113,3,8.71728717881205,1.81945805937888,0.756319,1042.68,4.74675,0.786014,0.729115,0.586282,"3-11A",3.29198082096815,2.14376085786175,5.46355161449422,3.29198082096815,1,1,4.85714285714286,"56-59-63","0-3-7"
"28","te179c",8.4486013986014,0.621,0.113,"bowl18",4,"te179c",NA,NA,60,53,65,12,0.109259259259259,0.928588602237831,0.702134069832943,2.04939015319192,0.253054035992057,-3.90689059560852,44.1007502178271,0.184741400459322,1.31517332359032,3.03464355691896,0.964361010938479,3,5.78116443842024,1.47486567889912,0.784605,1051.09,4.85582,0.668949,0.68066,1.07543,"3-11A",3.29198082096815,2.14376085786175,5.46355161449422,3.29198082096815,1,1,6.14285714285714,"53-58-61-65","0-5-8-12"
"29","te164c",8.23776223776224,0.479,0.088,"bowl18",4,"te164c",NA,NA,60,53,65,12,0.233333333333333,0.898206959300817,0.709916008353518,2.04939015319192,0.147919363016404,-3,19.600674520134,0.36790803702521,1.34220443680334,2.98526557736549,0.863314140371463,3,1.94525976831915,0.726279388155963,0.766681,1051.09,3.84407,0.59964,0.691658,1.3792,"3-4A",8.97748579111647,10.0825631060162,12.051101629319,8.97748579111647,1,1,6.14285714285714,"53-57-64-65","0-4-11-12"
"30","te153c",8.13391608391608,0.837,0.153,"bowl18",4,"major 7th chord",NA,NA,60,54,65,11,0.125396825396825,0.815233587107258,0.593204732098434,2.16024689946929,0.153051458380088,-3,44.1007502178271,0.29037197696277,1.73001978677949,4.00302476894858,1.03074964888138,1,7.42894391227048,1.27285200633661,0.804363,1113,10.2837,0.788031,0.724135,0.708986,"4-20",3.50094154161012,3.54780574500476,3.45232845091035,3.50094154161012,1,1,6.14285714285714,"54-58-61-65","0-4-7-11"
"31","te161c",7.92307692307692,0.728,0.133,"bowl18",4,"te161c",NA,NA,60,53,65,12,0.133333333333333,0.928588602237831,0.702134069832943,2.04939015319192,0.236460715520258,-3.58496250072116,45.3858842834981,0.185681330535038,1.29126424810268,2.84007313522782,0.861949043743512,3,5.90185056611313,1.48585794966391,0.757128,884.544,8.73703,0.571015,0.661411,1.05044,"3-11A",3.29198082096815,2.14376085786175,5.46355161449422,3.29198082096815,1,1,6.14285714285714,"53-57-62-65","0-4-9-12"
"32","te172c",7.92307692307692,0.898,0.164,"bowl18",4,"suspended 4th + M6",NA,NA,60,54,63,9,0.0165228174603175,0.851740027175046,0.675052507383902,2.10262993215139,0.145686249006584,-3.51920389926271,30.24098034881,0.375541892990698,1.9654974457488,4.65542802029473,1.06708948289031,1,4.41608887236599,0.887426077392133,0.776292,1112.66,9.6322,0.825695,0.722012,0.411206,"4-22A",8.97748579111647,3.73225929214014,7.59675433306551,8.97748579111647,1,1,6.14285714285714,"54-59-61-63","0-5-7-9"
"33","tr60c",7.81923076923077,0.71438423,0.130428119,"bowl18",3,"tr60c",NA,NA,61,53,65,12,0.3,1.0699768326589,0.733508698953899,1.79743406854583,0.471560841877958,-2.32192809488736,72.0456004561318,0.107041109627435,0.519248214343475,1.15066698022237,0.703143800609919,3,2.67428545596906,1.53022259367985,0.738953,876.132,4.57834,0.585172,0.6508,1.06685,"2-4",2.50511234872651,6.25113485824702,2.61404404066749,2.50511234872651,1,1,7.42857142857143,"53-61-65","0-8-12"
"34","te128c",7.81923076923077,0.761,0.139,"bowl18",4,"te128c",NA,NA,60,54,64,10,0.0312169312169312,0.851740027175046,0.675052507383902,2.10262993215139,0.140040528778399,-3.51064997042823,35.0027886441828,0.353517233645235,1.85933002353599,4.21137513895454,0.994741279581086,1,4.53704734283344,0.935649460159584,0.79584,1103.91,4.46657,0.791798,0.766994,0.503218,"4-22A",8.97748579111647,3.73225929214014,7.59675433306551,8.97748579111647,1,1,6.14285714285714,"54-57-62-64","0-3-8-10"
"35","dy4c",7.73426573426574,0.61,0.111,"bowl18",2,"major 3rd",NA,NA,60,58,62,4,0.4,1.0699768326589,0.733508698953899,1.79743406854583,0.533939179079726,-2,60.5828871583626,0.0777705748788746,0.355325843383768,0.951266661307462,0.605569370621003,3,2.19278502537322,1.52771030097112,0.832055,1171.88,3.65518,0.625565,0.841066,0.329365,"2-4",2.50511234872651,6.25113485824702,2.61404404066749,2.50511234872651,1,1,6.14285714285714,"58-62","0-4"
"36","tr40c",7.60944055839161,0.819307249,0.149584354,"bowl18",3,"suspended 4th",NA,NA,61,56,63,7,0.305555555555556,1.05597977834256,0.763252924065916,1.98431348329844,0.272462881860757,-3.16395103210989,33.9443527452088,0.219750173576247,0.906038679661909,2.2557105355546,0.663695759216156,4,6.89028075835381,1.75991134023351,0.747903,1112.32,4.27097,0.753451,0.756974,0.348145,"3-9",8.97748579111647,4.09193223965683,9.97166008763918,8.97748579111647,1,1,7.42857142857143,"56-61-63","0-5-7"
"37","te184c",7.60839160839161,0.629,0.115,"bowl18",4,"power chord + m7",NA,NA,60,53,65,12,0.1,1.05597977834256,0.763252924065916,1.98431348329844,0.246150643327112,-3.53840779852542,38.101247710923,0.212217971003699,1.21956647461698,2.75107503961609,0.968875949116423,4,4.71482082989417,1.5465217134428,0.789106,1050.75,4.11089,0.603594,0.685412,1.04204,"3-9",8.97748579111647,4.09193223965683,9.97166008763918,8.97748579111647,1,1,6.14285714285714,"53-58-63-65","0-5-10-12"
"38","te90c",7.50454545454545,0.662,0.121,"bowl18",4,"suspended 2nd + Oct",NA,NA,58,54,66,12,0.104166666666667,1.05597977834256,0.763252924065916,1.98431348329844,0.229085711698026,-3.43872187554087,22.6551374341554,0.258199494849772,1.21694692237433,2.56853048555624,0.8818332249048,4,5.50091134991306,1.55354755946896,0.769626,1112.66,6.99506,0.809529,0.731422,0.433609,"3-9",8.97748579111647,4.09193223965683,9.97166008763918,8.97748579111647,1,1,3.57142857142857,"54-56-61-66","0-2-7-12"
